! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
800.000000	0.47863   	800.000000	0.566321  	800.000000	0.577745  	800.000000	0.568964  	800.000000	0.577757  	800.000000	0.566235  	800.000000	8.60312e-05	
820.000000	0.475152  	820.000000	0.562344  	820.000000	0.573918  	820.000000	0.565151  	820.000000	0.573915  	820.000000	0.56226   	820.000000	8.40836e-05	
840.000000	0.471872  	840.000000	0.558598  	840.000000	0.570304  	840.000000	0.561555  	840.000000	0.570291  	840.000000	0.558516  	840.000000	8.22252e-05	
860.000000	0.468777  	860.000000	0.555066  	860.000000	0.566881  	860.000000	0.558162  	860.000000	0.566868  	860.000000	0.554986  	860.000000	8.04499e-05	
880.000000	0.465857  	880.000000	0.551735  	880.000000	0.56364   	880.000000	0.554957  	880.000000	0.563637  	880.000000	0.551656  	880.000000	7.87523e-05	
900.000000	0.463098  	900.000000	0.54859   	900.000000	0.560573  	900.000000	0.551928  	900.000000	0.560584  	900.000000	0.548513  	900.000000	7.71272e-05	
920.000000	0.460493  	920.000000	0.54562   	920.000000	0.557672  	920.000000	0.549062  	920.000000	0.557691  	920.000000	0.545544  	920.000000	7.55701e-05	
940.000000	0.458031  	940.000000	0.542814  	940.000000	0.55493   	940.000000	0.546349  	940.000000	0.554954  	940.000000	0.54274   	940.000000	7.40767e-05	
960.000000	0.455704  	960.000000	0.540163  	960.000000	0.552339  	960.000000	0.543779  	960.000000	0.552361  	960.000000	0.54009   	960.000000	7.26432e-05	
980.000000	0.453505  	980.000000	0.537656  	980.000000	0.549891  	980.000000	0.541344  	980.000000	0.549905  	980.000000	0.537585  	980.000000	7.1266e-05	
1000.000000	0.451425  	1000.000000	0.535286  	1000.000000	0.547572  	1000.000000	0.539034  	1000.000000	0.547572  	1000.000000	0.535216  	1000.000000	6.99418e-05	
1020.000000	0.44946   	1020.000000	0.533044  	1020.000000	0.545369  	1020.000000	0.536842  	1020.000000	0.545359  	1020.000000	0.532975  	1020.000000	6.86676e-05	
1040.000000	0.447601  	1040.000000	0.530924  	1040.000000	0.543273  	1040.000000	0.534761  	1040.000000	0.543258  	1040.000000	0.530856  	1040.000000	6.74405e-05	
1060.000000	0.445844  	1060.000000	0.528918  	1060.000000	0.541276  	1060.000000	0.532785  	1060.000000	0.541264  	1060.000000	0.528851  	1060.000000	6.6258e-05	
1080.000000	0.444183  	1080.000000	0.52702   	1080.000000	0.539375  	1080.000000	0.530907  	1080.000000	0.539366  	1080.000000	0.526955  	1080.000000	6.51176e-05	
1100.000000	0.442614  	1100.000000	0.525225  	1100.000000	0.537565  	1100.000000	0.529122  	1100.000000	0.537562  	1100.000000	0.525161  	1100.000000	6.40172e-05	
1120.000000	0.441132  	1120.000000	0.523527  	1120.000000	0.535844  	1120.000000	0.527424  	1120.000000	0.535847  	1120.000000	0.523464  	1120.000000	6.29545e-05	
1140.000000	0.439732  	1140.000000	0.521921  	1140.000000	0.534206  	1140.000000	0.52581   	1140.000000	0.534217  	1140.000000	0.52186   	1140.000000	6.19278e-05	
1160.000000	0.43841   	1160.000000	0.520403  	1160.000000	0.532648  	1160.000000	0.524273  	1160.000000	0.532664  	1160.000000	0.520342  	1160.000000	6.09351e-05	
1180.000000	0.437164  	1180.000000	0.518968  	1180.000000	0.531168  	1180.000000	0.522811  	1180.000000	0.531184  	1180.000000	0.518908  	1180.000000	5.99748e-05	
1200.000000	0.435988  	1200.000000	0.517612  	1200.000000	0.529762  	1200.000000	0.521418  	1200.000000	0.529776  	1200.000000	0.517553  	1200.000000	5.90453e-05	
1220.000000	0.434881  	1220.000000	0.516331  	1220.000000	0.528426  	1220.000000	0.520093  	1220.000000	0.528436  	1220.000000	0.516273  	1220.000000	5.81452e-05	
1240.000000	0.433839  	1240.000000	0.515122  	1240.000000	0.527156  	1240.000000	0.51883   	1240.000000	0.52716   	1240.000000	0.515064  	1240.000000	5.7273e-05	
1260.000000	0.432859  	1260.000000	0.513981  	1260.000000	0.525946  	1260.000000	0.517627  	1260.000000	0.525942  	1260.000000	0.513924  	1260.000000	5.64275e-05	
1280.000000	0.431938  	1280.000000	0.512905  	1280.000000	0.524794  	1280.000000	0.51648   	1280.000000	0.524781  	1280.000000	0.512849  	1280.000000	5.56074e-05	
1300.000000	0.431074  	1300.000000	0.511891  	1300.000000	0.523695  	1300.000000	0.515388  	1300.000000	0.523676  	1300.000000	0.511836  	1300.000000	5.48116e-05	
1320.000000	0.430264  	1320.000000	0.510937  	1320.000000	0.522645  	1320.000000	0.514347  	1320.000000	0.522622  	1320.000000	0.510883  	1320.000000	5.4039e-05	
1340.000000	0.429507  	1340.000000	0.510039  	1340.000000	0.521641  	1340.000000	0.513355  	1340.000000	0.521618  	1340.000000	0.509986  	1340.000000	5.32886e-05	
1360.000000	0.428799  	1360.000000	0.509196  	1360.000000	0.520683  	1360.000000	0.512409  	1360.000000	0.520661  	1360.000000	0.509144  	1360.000000	5.25595e-05	
1380.000000	0.42814   	1380.000000	0.508405  	1380.000000	0.519767  	1380.000000	0.511508  	1380.000000	0.519747  	1380.000000	0.508353  	1380.000000	5.18507e-05	
1400.000000	0.427526  	1400.000000	0.507664  	1400.000000	0.518894  	1400.000000	0.510649  	1400.000000	0.518876  	1400.000000	0.507612  	1400.000000	5.11614e-05	
1420.000000	0.426957  	1420.000000	0.50697   	1420.000000	0.518061  	1420.000000	0.50983   	1420.000000	0.518047  	1420.000000	0.506919  	1420.000000	5.04908e-05	
1440.000000	0.42643   	1440.000000	0.506322  	1440.000000	0.517267  	1440.000000	0.50905   	1440.000000	0.517256  	1440.000000	0.506272  	1440.000000	4.98382e-05	
1460.000000	0.425945  	1460.000000	0.505718  	1460.000000	0.516511  	1460.000000	0.508307  	1460.000000	0.516503  	1460.000000	0.505669  	1460.000000	4.92027e-05	
1480.000000	0.425498  	1480.000000	0.505156  	1480.000000	0.51579   	1480.000000	0.507598  	1480.000000	0.515784  	1480.000000	0.505108  	1480.000000	4.85839e-05	
1500.000000	0.42509   	1500.000000	0.504635  	1500.000000	0.515104  	1500.000000	0.506924  	1500.000000	0.515098  	1500.000000	0.504587  	1500.000000	4.79809e-05	
1520.000000	0.424718  	1520.000000	0.504153  	1520.000000	0.51445   	1520.000000	0.506281  	1520.000000	0.514446  	1520.000000	0.504105  	1520.000000	4.73931e-05	
1540.000000	0.424382  	1540.000000	0.503708  	1540.000000	0.513828  	1540.000000	0.505669  	1540.000000	0.513824  	1540.000000	0.503661  	1540.000000	4.68201e-05	
1560.000000	0.42408   	1560.000000	0.503299  	1560.000000	0.513235  	1560.000000	0.505086  	1560.000000	0.513233  	1560.000000	0.503253  	1560.000000	4.62613e-05	
1580.000000	0.42381   	1580.000000	0.502925  	1580.000000	0.512671  	1580.000000	0.504532  	1580.000000	0.51267   	1580.000000	0.502879  	1580.000000	4.57161e-05	
1600.000000	0.423572  	1600.000000	0.502584  	1600.000000	0.512134  	1600.000000	0.504004  	1600.000000	0.512134  	1600.000000	0.502539  	1600.000000	4.5184e-05	
1620.000000	0.423365  	1620.000000	0.502275  	1620.000000	0.511623  	1620.000000	0.503502  	1620.000000	0.511623  	1620.000000	0.50223   	1620.000000	4.46645e-05	
1640.000000	0.423187  	1640.000000	0.501997  	1640.000000	0.511137  	1640.000000	0.503025  	1640.000000	0.511137  	1640.000000	0.501953  	1640.000000	4.41573e-05	
1660.000000	0.423038  	1660.000000	0.501749  	1660.000000	0.510675  	1660.000000	0.502571  	1660.000000	0.510675  	1660.000000	0.501706  	1660.000000	4.36618e-05	
1680.000000	0.422917  	1680.000000	0.50153   	1680.000000	0.510235  	1680.000000	0.502141  	1680.000000	0.510237  	1680.000000	0.501487  	1680.000000	4.31777e-05	
1700.000000	0.422823  	1700.000000	0.501339  	1700.000000	0.509818  	1700.000000	0.501732  	1700.000000	0.509821  	1700.000000	0.501296  	1700.000000	4.27046e-05	
1750.000000	0.422698  	1750.000000	0.500976  	1750.000000	0.508865  	1750.000000	0.5008    	1750.000000	0.50887   	1750.000000	0.500935  	1750.000000	4.15673e-05	
1800.000000	0.422723  	1800.000000	0.500768  	1800.000000	0.508032  	1800.000000	0.499987  	1800.000000	0.508039  	1800.000000	0.500727  	1800.000000	4.0491e-05	
1850.000000	0.422888  	1850.000000	0.500701  	1850.000000	0.507306  	1850.000000	0.499281  	1850.000000	0.507318  	1850.000000	0.500661  	1850.000000	3.94708e-05	
1900.000000	0.423181  	1900.000000	0.500764  	1900.000000	0.50668   	1900.000000	0.498673  	1900.000000	0.506694  	1900.000000	0.500726  	1900.000000	3.85024e-05	
1950.000000	0.423595  	1950.000000	0.500948  	1950.000000	0.506144  	1950.000000	0.498154  	1950.000000	0.506159  	1950.000000	0.500911  	1950.000000	3.75818e-05	
2000.000000	0.42412   	2000.000000	0.501244  	2000.000000	0.505692  	2000.000000	0.497715  	2000.000000	0.505708  	2000.000000	0.501207  	2000.000000	3.67056e-05	
2100.000000	0.425478  	2100.000000	0.502138  	2100.000000	0.505008  	2100.000000	0.497054  	2100.000000	0.50502   	2100.000000	0.502103  	2100.000000	3.5074e-05	
2200.000000	0.427205  	2200.000000	0.50339   	2200.000000	0.504579  	2200.000000	0.496639  	2200.000000	0.504583  	2200.000000	0.503357  	2200.000000	3.35856e-05	
2300.000000	0.429257  	2300.000000	0.504954  	2300.000000	0.50436   	2300.000000	0.496432  	2300.000000	0.504354  	2300.000000	0.504922  	2300.000000	3.22221e-05	
2400.000000	0.4316    	2400.000000	0.50679   	2400.000000	0.504314  	2400.000000	0.4964    	2400.000000	0.504304  	2400.000000	0.506759  	2400.000000	3.09682e-05	
2500.000000	0.434202  	2500.000000	0.508865  	2500.000000	0.504415  	2500.000000	0.496517  	2500.000000	0.504402  	2500.000000	0.508835  	2500.000000	2.98112e-05	
2600.000000	0.43704   	2600.000000	0.511151  	2600.000000	0.50464   	2600.000000	0.496759  	2600.000000	0.504629  	2600.000000	0.511123  	2600.000000	2.87402e-05	
2700.000000	0.44009   	2700.000000	0.513626  	2700.000000	0.504973  	2700.000000	0.497108  	2700.000000	0.504962  	2700.000000	0.513598  	2700.000000	2.77457e-05	
2800.000000	0.443333  	2800.000000	0.516267  	2800.000000	0.505398  	2800.000000	0.497548  	2800.000000	0.50539   	2800.000000	0.516241  	2800.000000	2.68198e-05	
2900.000000	0.446754  	2900.000000	0.519059  	2900.000000	0.505902  	2900.000000	0.498066  	2900.000000	0.505894  	2900.000000	0.519033  	2900.000000	2.59555e-05	
3000.000000	0.450337  	3000.000000	0.521985  	3000.000000	0.506474  	3000.000000	0.498651  	3000.000000	0.506467  	3000.000000	0.52196   	3000.000000	2.51469e-05	
3200.000000	0.457943  	3200.000000	0.528188  	3200.000000	0.507784  	3200.000000	0.499982  	3200.000000	0.507777  	3200.000000	0.528165  	3200.000000	2.36762e-05	
3400.000000	0.466069  	3400.000000	0.53479   	3400.000000	0.509264  	3400.000000	0.50148   	3400.000000	0.509256  	3400.000000	0.534768  	3400.000000	2.23727e-05	
3600.000000	0.474648  	3600.000000	0.541721  	3600.000000	0.510867  	3600.000000	0.503098  	3600.000000	0.510858  	3600.000000	0.5417    	3600.000000	2.12092e-05	
3800.000000	0.483628  	3800.000000	0.548928  	3800.000000	0.512558  	3800.000000	0.504803  	3800.000000	0.512547  	3800.000000	0.548908  	3800.000000	2.01642e-05	
4000.000000	0.492967  	4000.000000	0.556366  	4000.000000	0.51431   	4000.000000	0.506567  	4000.000000	0.514298  	4000.000000	0.556347  	4000.000000	1.92202e-05	
4200.000000	0.502631  	4200.000000	0.564002  	4200.000000	0.516102  	4200.000000	0.508371  	4200.000000	0.51609   	4200.000000	0.563984  	4200.000000	1.83631e-05	
4400.000000	0.512591  	4400.000000	0.571806  	4400.000000	0.51792   	4400.000000	0.510199  	4400.000000	0.517907  	4400.000000	0.571788  	4400.000000	1.75813e-05	
4600.000000	0.522825  	4600.000000	0.579754  	4600.000000	0.51975   	4600.000000	0.51204   	4600.000000	0.519738  	4600.000000	0.579737  	4600.000000	1.68653e-05	
4800.000000	0.533311  	4800.000000	0.587828  	4800.000000	0.521584  	4800.000000	0.513885  	4800.000000	0.521572  	4800.000000	0.587812  	4800.000000	1.62069e-05	
5000.000000	0.544034  	5000.000000	0.59601   	5000.000000	0.523414  	5000.000000	0.515726  	5000.000000	0.523404  	5000.000000	0.595994  	5000.000000	1.55995e-05	
5250.000000	0.557749  	5250.000000	0.606369  	5250.000000	0.525689  	5250.000000	0.518014  	5250.000000	0.525681  	5250.000000	0.606354  	5250.000000	1.49032e-05	
5500.000000	0.571787  	5500.000000	0.616853  	5500.000000	0.527943  	5500.000000	0.52028   	5500.000000	0.527937  	5500.000000	0.616839  	5500.000000	1.42681e-05	
6000.000000	0.600762  	6000.000000	0.638127  	6000.000000	0.532365  	6000.000000	0.524725  	6000.000000	0.532363  	6000.000000	0.638114  	6000.000000	1.31517e-05	
6500.000000	0.630838  	6500.000000	0.659715  	6500.000000	0.536653  	6500.000000	0.529032  	6500.000000	0.536653  	6500.000000	0.659703  	6500.000000	1.22016e-05	
7000.000000	0.661927  	7000.000000	0.681538  	7000.000000	0.540784  	7000.000000	0.53319   	7000.000000	0.540795  	7000.000000	0.681526  	7000.000000	1.13831e-05	
7500.000000	0.693965  	7500.000000	0.703536  	7500.000000	0.544777  	7500.000000	0.537195  	7500.000000	0.544784  	7500.000000	0.703525  	7500.000000	1.06703e-05	
8000.000000	0.726903  	8000.000000	0.725666  	8000.000000	0.548622  	8000.000000	0.541048  	8000.000000	0.548622  	8000.000000	0.725656  	8000.000000	1.00438e-05	
8500.000000	0.760704  	8500.000000	0.747896  	8500.000000	0.552319  	8500.000000	0.544756  	8500.000000	0.552313  	8500.000000	0.747887  	8500.000000	9.48864e-06	
9000.000000	0.795338  	9000.000000	0.770202  	9000.000000	0.555876  	9000.000000	0.548323  	9000.000000	0.555865  	9000.000000	0.770193  	9000.000000	8.99328e-06	
9500.000000	0.830783  	9500.000000	0.792563  	9500.000000	0.559296  	9500.000000	0.551758  	9500.000000	0.559284  	9500.000000	0.792554  	9500.000000	8.54844e-06	
10000.000000	0.867021  	10000.000000	0.814964  	10000.000000	0.562589  	10000.000000	0.555066  	10000.000000	0.562576  	10000.000000	0.814956  	10000.000000	8.14669e-06	
11000.000000	0.941816  	11000.000000	0.859846  	11000.000000	0.56882   	11000.000000	0.561332  	11000.000000	0.56881   	11000.000000	0.859839  	11000.000000	7.44945e-06	
12000.000000	1.01964   	12000.000000	0.904779  	12000.000000	0.574628  	12000.000000	0.567176  	12000.000000	0.574619  	12000.000000	0.904772  	12000.000000	6.86496e-06	
13000.000000	1.10043   	13000.000000	0.949719  	13000.000000	0.580056  	13000.000000	0.572644  	13000.000000	0.580051  	13000.000000	0.949712  	13000.000000	6.3677e-06	
14000.000000	1.18414   	14000.000000	0.994636  	14000.000000	0.585148  	14000.000000	0.577777  	14000.000000	0.585146  	14000.000000	0.99463   	14000.000000	5.93936e-06	
15000.000000	1.27076   	15000.000000	1.03951   	15000.000000	0.589939  	15000.000000	0.582612  	15000.000000	0.589941  	15000.000000	1.03951   	15000.000000	5.56643e-06	
16000.000000	1.36027   	16000.000000	1.08433   	16000.000000	0.59446   	16000.000000	0.587179  	16000.000000	0.594466  	16000.000000	1.08433   	16000.000000	5.23871e-06	
17000.000000	1.45265   	17000.000000	1.12909   	17000.000000	0.59874   	17000.000000	0.591506  	17000.000000	0.598748  	17000.000000	1.12909   	17000.000000	4.9484e-06	
18000.000000	1.54791   	18000.000000	1.17378   	18000.000000	0.602803  	18000.000000	0.595614  	18000.000000	0.602811  	18000.000000	1.17378   	18000.000000	4.68939e-06	
19000.000000	1.64603   	19000.000000	1.2184    	19000.000000	0.606669  	19000.000000	0.599525  	19000.000000	0.606672  	19000.000000	1.21839   	19000.000000	4.45682e-06	
20000.000000	1.74702   	20000.000000	1.26294   	20000.000000	0.610356  	20000.000000	0.603255  	20000.000000	0.610352  	20000.000000	1.26294   	20000.000000	4.24682e-06	
21000.000000	1.85089   	21000.000000	1.30741   	21000.000000	0.613875  	21000.000000	0.606821  	21000.000000	0.613865  	21000.000000	1.30741   	21000.000000	4.05622e-06	
22000.000000	1.95764   	22000.000000	1.35181   	22000.000000	0.61723   	22000.000000	0.610236  	22000.000000	0.617224  	22000.000000	1.3518    	22000.000000	3.88243e-06	
23000.000000	2.06728   	23000.000000	1.39613   	23000.000000	0.620448  	23000.000000	0.613511  	23000.000000	0.620443  	23000.000000	1.39612   	23000.000000	3.7233e-06	
24000.000000	2.17982   	24000.000000	1.44037   	24000.000000	0.623537  	24000.000000	0.616658  	24000.000000	0.623529  	24000.000000	1.44037   	24000.000000	3.57704e-06	
25000.000000	2.29526   	25000.000000	1.48455   	25000.000000	0.626501  	25000.000000	0.619686  	25000.000000	0.626497  	25000.000000	1.48454   	25000.000000	3.44213e-06	
26000.000000	2.41363   	26000.000000	1.52865   	26000.000000	0.629351  	26000.000000	0.622603  	26000.000000	0.629349  	26000.000000	1.52865   	26000.000000	3.31729e-06	
27000.000000	2.53492   	27000.000000	1.57268   	27000.000000	0.632098  	27000.000000	0.625418  	27000.000000	0.632099  	27000.000000	1.57268   	27000.000000	3.20142e-06	
28000.000000	2.65916   	28000.000000	1.61664   	28000.000000	0.63475   	28000.000000	0.628136  	28000.000000	0.634748  	28000.000000	1.61664   	28000.000000	3.09359e-06	
29000.000000	2.78634   	29000.000000	1.66054   	29000.000000	0.637315  	29000.000000	0.630765  	29000.000000	0.637308  	29000.000000	1.66054   	29000.000000	2.99297e-06	
30000.000000	2.9165    	30000.000000	1.70437   	30000.000000	0.639796  	30000.000000	0.63331   	30000.000000	0.63978   	30000.000000	1.70436   	30000.000000	2.89886e-06	
32000.000000	3.18577   	32000.000000	1.79183   	32000.000000	0.644516  	32000.000000	0.638168  	32000.000000	0.644488  	32000.000000	1.79183   	32000.000000	2.72778e-06	
34000.000000	3.46708   	34000.000000	1.87905   	34000.000000	0.648936  	34000.000000	0.642745  	34000.000000	0.648907  	34000.000000	1.87905   	34000.000000	2.57624e-06	
36000.000000	3.76054   	36000.000000	1.96604   	36000.000000	0.653091  	36000.000000	0.647073  	36000.000000	0.653067  	36000.000000	1.96603   	36000.000000	2.44107e-06	
38000.000000	4.06628   	38000.000000	2.0528    	38000.000000	0.657014  	38000.000000	0.651177  	38000.000000	0.656997  	38000.000000	2.05279   	38000.000000	2.31971e-06	
40000.000000	4.38442   	40000.000000	2.13934   	40000.000000	0.660728  	40000.000000	0.655079  	40000.000000	0.660716  	40000.000000	2.13934   	40000.000000	2.21014e-06	
42000.000000	4.71509   	42000.000000	2.22567   	42000.000000	0.664258  	42000.000000	0.658797  	42000.000000	0.664244  	42000.000000	2.22567   	42000.000000	2.11071e-06	
44000.000000	5.05842   	44000.000000	2.31181   	44000.000000	0.66762   	44000.000000	0.662348  	44000.000000	0.667601  	44000.000000	2.31181   	44000.000000	2.02006e-06	
46000.000000	5.41454   	46000.000000	2.39776   	46000.000000	0.670832  	46000.000000	0.665747  	46000.000000	0.670792  	46000.000000	2.39776   	46000.000000	1.93707e-06	
48000.000000	5.78358   	48000.000000	2.48353   	48000.000000	0.673904  	48000.000000	0.669005  	48000.000000	0.673841  	48000.000000	2.48353   	48000.000000	1.8608e-06	
50000.000000	6.16569   	50000.000000	2.56912   	50000.000000	0.676834  	50000.000000	0.672134  	50000.000000	0.67675   	50000.000000	2.56912   	50000.000000	1.79045e-06	
