! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.750000	19.3186   	1.750000	26.803    	1.750000	24.3975   	1.750000	24.3975   	1.750000	24.3975   	1.750000	26.7812   	1.750000	0.0218101 	
2.000000	18.4684   	2.000000	25.3652   	2.000000	23.4347   	2.000000	23.4347   	2.000000	23.4348   	2.000000	25.3458   	2.000000	0.019418  	
2.250000	17.7324   	2.250000	24.1211   	2.250000	22.5476   	2.250000	22.5476   	2.250000	22.5476   	2.250000	24.1036   	2.250000	0.0175224 	
2.500000	19.0766   	2.500000	23.0319   	2.500000	21.7257   	2.500000	21.7257   	2.500000	21.7257   	2.500000	23.016    	2.500000	0.0159811 	
3.000000	17.6349   	3.000000	21.1757   	3.000000	20.2489   	3.000000	20.2489   	3.000000	20.2489   	3.000000	21.1621   	3.000000	0.0136218 	
3.500000	16.3837   	3.500000	19.6341   	3.500000	18.9594   	3.500000	18.9594   	3.500000	18.9594   	3.500000	19.6222   	3.500000	0.0118963 	
4.000000	15.2972   	4.000000	18.317    	4.000000	17.8243   	4.000000	17.8243   	4.000000	17.8244   	4.000000	18.3064   	4.000000	0.0105763 	
4.500000	14.3487   	4.500000	17.1716   	4.500000	16.818    	4.500000	16.818    	4.500000	16.818    	4.500000	17.1621   	4.500000	0.0095322 	
5.000000	13.5151   	5.000000	16.1615   	5.000000	15.92     	5.000000	15.92     	5.000000	15.92     	5.000000	16.1528   	5.000000	0.00868445	
5.500000	12.7776   	5.500000	15.2691   	5.500000	15.1138   	5.500000	15.1138   	5.500000	15.1138   	5.500000	15.2611   	5.500000	0.00798169	
6.000000	12.1206   	6.000000	14.4733   	6.000000	14.386    	6.000000	14.386    	6.000000	14.386    	6.000000	14.4659   	6.000000	0.00738914	
6.500000	11.5319   	6.500000	13.7583   	6.500000	13.7258   	6.500000	13.7258   	6.500000	13.7258   	6.500000	13.7515   	6.500000	0.00688238	
7.000000	11.0014   	7.000000	13.1118   	7.000000	13.1241   	7.000000	13.1241   	7.000000	13.1241   	7.000000	13.1054   	7.000000	0.00644377	
7.500000	10.5208   	7.500000	12.5237   	7.500000	12.5735   	7.500000	12.5735   	7.500000	12.5735   	7.500000	12.5176   	7.500000	0.00606023	
8.000000	10.0833   	8.000000	11.9862   	8.000000	12.0677   	8.000000	12.0677   	8.000000	12.0677   	8.000000	11.9805   	8.000000	0.00572184	
8.500000	9.6834    	8.500000	11.4931   	8.500000	11.6014   	8.500000	11.6014   	8.500000	11.6014   	8.500000	11.4877   	8.500000	0.00542096	
9.000000	9.31635   	9.000000	11.0391   	9.000000	11.1701   	9.000000	11.1701   	9.000000	11.1701   	9.000000	11.034    	9.000000	0.00515159	
9.500000	8.97823   	9.500000	10.6197   	9.500000	10.77     	9.500000	10.77     	9.500000	10.77     	9.500000	10.6148   	9.500000	0.00490894	
10.000000	8.6657    	10.000000	9.80537   	10.000000	10.3978   	10.000000	10.3978   	10.000000	10.3978   	10.000000	9.80068   	10.000000	0.00468917	
11.000000	8.10649   	11.000000	9.26141   	11.000000	9.69914   	11.000000	9.73301   	11.000000	9.73403   	11.000000	9.25711   	11.000000	0.00430625	
12.000000	7.62046   	12.000000	8.7741    	12.000000	9.09238   	12.000000	9.15103   	12.000000	9.15081   	12.000000	8.77011   	12.000000	0.00398369	
13.000000	7.19396   	13.000000	8.33573   	13.000000	8.56086   	13.000000	8.63771   	13.000000	8.63488   	13.000000	8.33202   	13.000000	0.00370807	
14.000000	6.81652   	14.000000	7.9397    	14.000000	8.09173   	14.000000	8.1819    	14.000000	8.17568   	14.000000	7.93623   	14.000000	0.0034697 	
15.000000	6.48002   	15.000000	7.58045   	15.000000	7.67494   	15.000000	7.77476   	15.000000	7.76477   	15.000000	7.57719   	15.000000	0.00326141	
16.000000	6.17804   	16.000000	7.25325   	16.000000	7.30257   	16.000000	7.40915   	16.000000	7.39531   	16.000000	7.25017   	16.000000	0.00307776	
17.000000	5.90545   	17.000000	6.95411   	17.000000	6.96813   	17.000000	7.07929   	17.000000	7.06168   	17.000000	6.9512    	17.000000	0.00291456	
18.000000	5.65809   	18.000000	6.67966   	18.000000	6.66622   	18.000000	6.78039   	18.000000	6.75898   	18.000000	6.67689   	18.000000	0.00276854	
19.000000	5.43257   	19.000000	6.42702   	19.000000	6.3925    	19.000000	6.50852   	19.000000	6.48363   	19.000000	6.42438   	19.000000	0.00263707	
20.000000	5.22606   	20.000000	6.19373   	20.000000	6.14344   	20.000000	6.26036   	20.000000	6.23238   	20.000000	6.19121   	20.000000	0.00251805	
21.000000	5.03623   	21.000000	5.97768   	21.000000	5.9161    	21.000000	6.03312   	21.000000	6.00206   	21.000000	5.97527   	21.000000	0.00240977	
22.000000	4.86109   	22.000000	5.77705   	22.000000	5.70798   	22.000000	5.82443   	22.000000	5.7908    	22.000000	5.77473   	22.000000	0.00231082	
23.000000	4.69898   	23.000000	5.59026   	23.000000	5.51692   	23.000000	5.63228   	23.000000	5.59625   	23.000000	5.58804   	23.000000	0.00222003	
24.000000	4.54847   	24.000000	5.41594   	24.000000	5.34105   	24.000000	5.45492   	24.000000	5.41684   	24.000000	5.4138    	24.000000	0.0021364 	
25.000000	4.40835   	25.000000	5.25289   	25.000000	5.17876   	25.000000	5.29084   	25.000000	5.25096   	25.000000	5.25083   	25.000000	0.00205912	
27.000000	4.15515   	27.000000	4.95654   	27.000000	4.88962   	27.000000	4.99749   	27.000000	4.95478   	27.000000	4.95462   	27.000000	0.00192086	
29.000000	3.93249   	29.000000	4.69418   	29.000000	4.64032   	29.000000	4.74359   	29.000000	4.69897   	29.000000	4.69238   	29.000000	0.00180072	
31.000000	3.73507   	31.000000	4.46031   	31.000000	4.41653   	31.000000	4.51022   	31.000000	4.46668   	31.000000	4.45861   	31.000000	0.00169531	
33.000000	3.55877   	33.000000	4.25054   	33.000000	4.21023   	33.000000	4.29121   	33.000000	4.25116   	33.000000	4.24893   	33.000000	0.00160205	
35.000000	3.40031   	35.000000	4.06133   	35.000000	4.02392   	35.000000	4.09446   	35.000000	4.05777   	35.000000	4.05981   	35.000000	0.00151892	
38.000000	3.19049   	38.000000	3.80994   	38.000000	3.77639   	38.000000	3.83415   	38.000000	3.80219   	38.000000	3.80853   	38.000000	0.00140983	
41.000000	3.00815   	41.000000	3.59078   	41.000000	3.56073   	41.000000	3.60823   	41.000000	3.58057   	41.000000	3.58947   	41.000000	0.00131595	
44.000000	2.84815   	44.000000	3.39805   	44.000000	3.37096   	44.000000	3.41028   	44.000000	3.38649   	44.000000	3.39681   	44.000000	0.00123426	
47.000000	2.70655   	47.000000	3.22722   	47.000000	3.20307   	47.000000	3.23537   	47.000000	3.21508   	47.000000	3.22606   	47.000000	0.0011625 	
50.000000	2.58029   	50.000000	3.07476   	50.000000	3.05298   	50.000000	3.0797    	50.000000	3.06254   	50.000000	3.07366   	50.000000	0.00109895	
